rating,display_name,brand_name,list_price
4.2898,Premium Beauty Balm SPF 45,Dr. Jart+,$39.00
4.2238,Even Better Makeup SPF 15,CLINIQUE,$27.00
4.0985,Camera Ready BB Cream SPF 35,Smashbox,$19.50 - $39.00
4.3998,bareMinerals Matte Foundation Broad Spectrum SPF 15,bareMinerals,$27.00
4.4056,Diorskin Airflash Spray Foundation,Dior,$62.00
4.4737,Tinted Moisturizer Broad Spectrum SPF 20,Laura Mercier,$20.50 - $43.00
4.2049,Try. Believe. Love. Kit,bareMinerals,$20.00
4.3387,Tinted Moisturizer Broad Spectrum SPF 20 - Oil Free,Laura Mercier,$43.00
4.1881,Immaculate Liquid Powder Foundation Mattifying Oil Free,Hourglass,$55.00
4.4913,Veil Mineral Primer Broad Spectrum SPF 15,Hourglass,$18.00 - $72.00
4.3881,Iconic Photo Finish Foundation Primer,Smashbox,$15.00 - $49.00
4.2478,The POREfessional,Benefit Cosmetics,$31.00
4.3743,All Nighter Long-Lasting Makeup Setting Spray,Urban Decay,$14.00 - $30.00
4.1564,HD Microperfecting Primer,MAKE UP FOR EVER,$34.00
4.3289,BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,Tarte,$10.00 - $35.00
4.4468,Prime Time™ Foundation Primer,bareMinerals,$23.00
4.3473,Color Control Cushion Compact Broad Spectrum SPF 50+,AmorePacific,$60.00
3.8967,Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,CLINIQUE,$35.00
3.9533,BB Cream Broad Spectrum SPF 35,Bobbi Brown,$44.00
4.3344,Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen,Tarte,$36.00
3.9523,B.B. Cream Broad Spectrum SPF 27 PA++,boscia,$18.00 - $38.00
4.1795,Prime Time BB Primer-Cream Daily Defense Broad Spectrum SPF 30,bareMinerals,$26.00
4.1685,Black Label Detox BB Beauty Balm,Dr. Jart+,$18.00 - $36.00
4.2932,Amazing Concealer To Go,Amazing Cosmetics,$28.00
4.078,Argan Creamy Concealer Crayon,Josie Maran,$20.00
3.7,bareMinerals Heal & Conceal Acne Treatment & Concealer,bareMinerals,$25.00
4.1339,Line Smoothing Concealer,CLINIQUE,$17.00
4.1029,Stay All Day® Foundation & Concealer,Stila,$44.00
4.1418,24/7 Concealer Pencil,Urban Decay,$19.00
4.1822,Undercover Pot,Laura Mercier,$34.00
4.0357,bareminerals® Well-Rested® Face & Eye Brightener,bareMinerals,$22.00
4.4286,Re(Marc)able Full Cover Concealer,Marc Jacobs Beauty,$32.00
4.0183,Advanced Concealer,CLINIQUE,$17.00
3.9452,Smoothing & Brightening Concealer,SEPHORA COLLECTION,$17.00
4.1037,Camera Ready Full Coverage Concealer,Smashbox,$20.00
4.0118,No Concealer Concealer,Perricone MD,$35.00
4.2061,"Airbrush Concealer Illuminates, Perfects",CLINIQUE,$19.50
5,Sheer Eye Zone Corrector,Shiseido,$30.00
3.9406,No Foundation Foundation,Perricone MD,$55.00
4.0996,Stay All Day® 10-In-One HD Illuminating Beauty Balm With Broad Spectrum SPF 30,Stila,$38.00
4.0857,Top Secrets All-In-One BB Cream Skintone Corrector,Yves Saint Laurent,$50.00
3.913,Age Defense BB Cream Broad Spectrum SPF 30,CLINIQUE,$37.00
4.1333,CC Color Correcting Cream Broad Spectrum SPF 20,Stila,$44.00
4.1819,Tinted Beauty Balm SPF 20,Too Faced,$34.00
3.8392,Perfect Truth™ CC Crème Broad Spectrum SPF 30,Ole Henriksen,$36.00
4.1724,CC Cream SPF 35,Bobbi Brown,$44.00
4.4258,SPF 15 Tinted Moisturizer Oil Free,Bobbi Brown,$44.00
4.0538,Water Fuse Beauty Balm SPF 25 PA++,Dr. Jart+,$34.00
4.4459,Pot Rouge For Lips And Cheeks,Bobbi Brown,$26.00
4.5845,Dallas,Benefit Cosmetics,$28.00
4.5259,Shimmer Brick - Bronze,Bobbi Brown,$42.00
4.6395,Everlasting Blush,Kat Von D,$25.00
4.5424,Mineral Blush,BECCA,$32.00
0,Contour Blush,NARS,$42.00
4.4605,bareMinerals READY™ Blush,bareMinerals,$22.00
4.5765,Rosy Glow Healthy Glow Awakening Blush,Dior,$44.00
4.2947,Posietint,Benefit Cosmetics,$30.00
4.5714,Shimmer Brick - Rose,Bobbi Brown,$42.00
4.5694,CORALista,Benefit Cosmetics,$28.00
4.8667,“Sol de Rio” Bronzing Powder,SEPHORA COLLECTION,$22.00
4.4847,Terracotta Light Sheer Bronzing Powder,Guerlain,$52.00
4.5301,bareMinerals Faux Tan All-Over Face Color,bareMinerals,$19.00
4.274,Fusion Soft Lights,Smashbox,$30.00
4.375,Bronzer,SEPHORA COLLECTION,$17.00
4.5845,Dallas,Benefit Cosmetics,$28.00
3.5714,Maracuja Bronzing Serum,Tarte,$47.00
4.5259,Shimmer Brick - Bronze,Bobbi Brown,$42.00
0,Contour Blush,NARS,$42.00
5,Radiance Baked Body Bronzer,Laura Mercier,$55.00
5,Bronze Goddess Powder Bronzer,Estee Lauder,$36.00
4.5147,Bronze Lights,Smashbox,$29.00
4.4088,Baked Bronzer,Urban Decay,$26.00
4.6622,Chocolate Soleil Medium/Deep Matte Bronzer,Too Faced,$30.00
4.6083,Mineral Powder Bronzer,Tarte,$30.00
4.75,O!Mega Bronze - Perfect Tan,Marc Jacobs Beauty,$49.00
4.2812,Mat Velvet + Matifying Foundation,MAKE UP FOR EVER,$36.00
4.3728,Naked Skin Weightless Ultra Definition Liquid Makeup,Urban Decay,$39.00
4.4924,bareMinerals Customizable Get Started Kit,bareMinerals,$49.00
4.462,HD Complexion Starter Kit,MAKE UP FOR EVER,$79.00
3.7258,Bareskin Pure Brightening Serum Foundation,bareMinerals,$29.00
4.3289,BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,Tarte,$10.00 - $35.00
4.5107,Duo Mat Powder Foundation,MAKE UP FOR EVER,$34.00
4.1934,Amazonian Clay 12-Hour Full Coverage Foundation SPF 15,Tarte,$38.00
3.4908,READY® Foundation Broad Spectrum SPF 20,bareMinerals,$29.00
4.4405,Pure Radiant Tinted Moisturizer Broad Spectrum SPF 30,NARS,$42.00
4.4853,Perfection Mist Airbrush Foundation,SEPHORA COLLECTION,$26.00
