rating,display_name,brand_name,list_price
4.0455,Water Fuse Beauty Balm SPF 25 PA++,Dr. Jart+,$34.00
4.1266,Skin Perfection CC Crème SPF 30,Perfekt,$42.00
4.0926,Camera Ready BB Cream Eyes Broad Spectrum SPF 15,Smashbox,$25.00
3.6667,Colored Clay CC Primer,Tarte,$34.00
4.3429,Lingerie De Peau BB Cream SPF 30,Guerlain,$52.00
3.8,IllumiKate CC Cream Broad Spectrum SPF 50+ PA+++,Kate Somerville,$48.00
3,CC Cream SPF 18,Dr. Dennis Gross Skincare,$36.00
4,Perfect Truth™ CC Eye Crème Broad Spectrum SPF 15,Ole Henriksen,$26.00
3.8784,B.B. Cream Light Broad Spectrum SPF 27 PA++,boscia,$38.00
4.2549,CC Essence Balm,Dr. Jart+,$42.00
3.8649,Complexion Perfector BB SPF 20,Omorovicza,$135.00
5,Stay All Day® 10-in-1 HD Beauty Balm Trio Broad-Spectrum SPF 30,Stila,$24.00
4.2194,Amazonian Clay BB Illuminating Moisturizer,Tarte,$32.00
3.3458,DD Cream 15-Benefits-In-1 Dermatologically Defining BB Cream Broad Spectrum SPF 30,DERMAdoctor,$38.00
3.8308,Satin Perfection BB Cream Sunscreen,REN,$38.00
3.0036,Air Buffed BB Crème Complete Coverage Makeup Broad Spectrum SPF 20 Sunscreen,Too Faced,$39.00
3.4194,cc glow Broad Spectrum SPF 30,Dr. Brandt Skincare,$39.00
0,CC Eye Correcting Concealer,Peter Thomas Roth,$42.00
3.3695,Flexitone™ BB Cream,Dr. Brandt Skincare,$39.00
3.5125,BB Matte With Signature Shinerase™,Dr. Brandt Skincare,$39.00
3.5,Stay All Day® 10-In-One HD  Beauty Balm With Broad Spectrum SPF 30,Stila,$38.00
3.6765,V7 Beauty Balm,Dr. Jart+,$36.00
4.1482,Photo Finish Color Correcting Foundation Primer,Smashbox,$38.00
3.9525,De-Slick Oil-Control Makeup Setting Spray,Urban Decay,$14.00 - $30.00
4.2857,Capture Totale Dream Skin,Dior,$110.00
4.4356,pores no more® pore refiner,Dr. Brandt Skincare,$45.00
3.6957,Visionnaire 1-Minute Blur,Lancôme,$55.00
4.1057,Foundation Primer - Radiance,Laura Mercier,$19.50 - $33.00
4.2103,Foundation Primer,Laura Mercier,$33.00
4.0736,Skin Perfection Gel,Perfekt,$48.00
4.3453,Photo Finish Foundation Primer Light,Smashbox,$10.00 - $49.00
3.9492,One Step Correct,Stila,$36.00
4.4951,The Secret To No Makeup Makeup,Too Faced,$39.00
4.5588,Shimmer Brick - Rose,Bobbi Brown,$42.00
4.3871,Convertible Color,Stila,$25.00
4.4116,Cha Cha Tint,Benefit Cosmetics,$30.00
4.6937,BLUSH SUBTIL - Delicate Oil-Free Powder Blush,Lancôme,$30.00
4.5808,Dallas,Benefit Cosmetics,$28.00
4.5882,DiorBlush Vibrant Colour Powder Blush,Dior,$42.00
4.5955,Powder Blusher,Illamasqua,$26.00
4.5746,MicroSmooth Baked Blush Duo,SEPHORA COLLECTION,$17.00
4.5764,Powder Blush,MAKE UP FOR EVER,$21.00
4.4899,bareMinerals READY™ Blush,bareMinerals,$22.00
4.425,Mineral Blush,BECCA,$32.00
4.6343,Hervana,Benefit Cosmetics,$28.00
4.5205,Blushing Blush Powder Blush,CLINIQUE,$21.00
4.2889,Shimmer Brick - Nectar,Bobbi Brown,$42.00
4.6379,Everlasting Blush,Kat Von D,$25.00
4.6481,MicroSmooth Baked Sculpting Contour Trio,SEPHORA COLLECTION,$21.00
4.3579,Argan Color Stick,Josie Maran,$22.00
4.5829,Blush Rush,Smashbox,$24.00
3.7857,Cheek Stain Collector's Vault,Tarte,$150.00
4.3636,Luminizing Satin Face Color,Shiseido,$30.00
4.1221,Shameless Bold Blush,Marc Jacobs Beauty,$30.00
4.3866,Sugarbomb,Benefit Cosmetics,$28.00
4.5133,Buxom True Hue™ Blush,Buxom,$24.00
4.3551,Halo Long Wear Blush,Smashbox,$24.00
4.0126,Smooth Focus Pressed Setting Powder - Shine Control,Laura Mercier,$34.00
3.2222,The POREfessional Agent Zero Shine,Benefit Cosmetics,$30.00
4.2667,Perfect Skin Mineral Powder Foundation,BECCA,$40.00
4.6154,Perfection Powder - Featherweight Finish,Marc Jacobs Beauty,$48.00
4.3613,Amazing Face SPF 15 Foundation Powder,Too Faced,$32.00
3.9672,Airflash Matte Touch,Dior,$49.00
4.2006,Powderful™ Amazonian Clay Pressed Mineral Powder,Tarte,$30.00
3.9225,Naked Skin Ultra Definition Pressed Finishing Powder,Urban Decay,$34.00
4.3327,De-Slick Mattifying Powder,Urban Decay,$32.00
4.1853,Undercover Pot,Laura Mercier,$34.00
4.1111,Skin Foundation Mineral Makeup SPF 15,Bobbi Brown,$39.00
4.2174,Primed & Poreless Pressed Powder,Too Faced,$30.00
4.3441,Illuminating Powder Foundation,Stila,$28.00
4.2384,Pressed Powder,NARS,$35.00
4.4762,Blotting Powder Perfector,BECCA,$38.00
4.4687,HD Complexion Starter Kit,MAKE UP FOR EVER,$79.00
4.3406,Tinted Moisturizer Broad Spectrum SPF 20 - Oil Free,Laura Mercier,$43.00
4.5205,Diorskin Forever Compact Flawless Perfection Fusion Wear Makeup SPF 25,Dior,$50.00
4.4406,LE TEINT TOUCHE ÉCLAT Illuminating Foundation SPF 19,Yves Saint Laurent,$57.00
4.2862,Mat Velvet + Matifying Foundation,MAKE UP FOR EVER,$36.00
4.3817,Naked Skin Weightless Ultra Definition Liquid Makeup,Urban Decay,$39.00
4.4454,Pure Radiant Tinted Moisturizer Broad Spectrum SPF 30,NARS,$42.00
4.625,Lingerie De Peau Invisible Skin Fusion Foundation SPF 20,Guerlain,$61.00
